Frame Index,Approximate Time (seconds),Approximate Time (milliseconds)
946,18.92,18920.0
947,18.94,18940.0
948,18.96,18960.0
949,18.98,18980.0
950,19.0,19000.0
951,19.02,19020.0
952,19.04,19040.0
953,19.06,19060.0
954,19.080000000000002,19080.000000000004
955,19.1,19100.0
956,19.12,19120.0
957,19.14,19140.0
958,19.16,19160.0
959,19.18,19180.0
960,19.2,19200.0
961,19.22,19220.0
962,19.240000000000002,19240.000000000004
963,19.26,19260.0
964,19.28,19280.0
965,19.3,19300.0
966,19.32,19320.0
967,19.34,19340.0
968,19.36,19360.0
969,19.38,19380.0
970,19.400000000000002,19400.000000000004
971,19.42,19420.0
972,19.44,19440.0
973,19.46,19460.0
974,19.48,19480.0
975,19.5,19500.0
976,19.52,19520.0
977,19.54,19540.0
978,19.56,19560.0
979,19.580000000000002,19580.000000000004
980,19.6,19600.0
981,19.62,19620.0
982,19.64,19640.0
983,19.66,19660.0
984,19.68,19680.0
985,19.7,19700.0
986,19.72,19720.0
987,19.740000000000002,19740.000000000004
988,19.76,19760.0
989,19.78,19780.0
990,19.8,19800.0
991,19.82,19820.0
992,19.84,19840.0
993,19.86,19860.0
994,19.88,19880.0
995,19.900000000000002,19900.000000000004
996,19.92,19920.0
997,19.94,19940.0
998,19.96,19960.0
999,19.98,19980.0
1000,20.0,20000.0
1001,20.02,20020.0
1002,20.04,20040.0
1003,20.06,20060.0
1004,20.080000000000002,20080.000000000004
1005,20.1,20100.0
1006,20.12,20120.0
1007,20.14,20140.0
1008,20.16,20160.0
1009,20.18,20180.0
1010,20.2,20200.0
1011,20.22,20220.0
1012,20.240000000000002,20240.000000000004
1013,20.26,20260.0
1014,20.28,20280.0
1015,20.3,20300.0
1016,20.32,20320.0
1017,20.34,20340.0
1018,20.36,20360.0
1019,20.38,20380.0
1020,20.400000000000002,20400.000000000004
1021,20.42,20420.0
1022,20.44,20440.0
1023,20.46,20460.0
1024,20.48,20480.0
1025,20.5,20500.0
1026,20.52,20520.0
1027,20.54,20540.0
1028,20.56,20560.0
1029,20.580000000000002,20580.000000000004
1030,20.6,20600.0
1031,20.62,20620.0
1032,20.64,20640.0
1033,20.66,20660.0
1034,20.68,20680.0
1035,20.7,20700.0
1036,20.72,20720.0
1037,20.740000000000002,20740.000000000004
1038,20.76,20760.0
1039,20.78,20780.0
1040,20.8,20800.0
1041,20.82,20820.0
1042,20.84,20840.0
1043,20.86,20860.0
1044,20.88,20880.0
1045,20.900000000000002,20900.000000000004
1046,20.92,20920.0
1047,20.94,20940.0
1048,20.96,20960.0
1049,20.98,20980.0
1050,21.0,21000.0
1051,21.02,21020.0
1052,21.04,21040.0
1053,21.06,21060.0
1054,21.080000000000002,21080.000000000004
1055,21.1,21100.0
1056,21.12,21120.0
1057,21.14,21140.0
1058,21.16,21160.0
1059,21.18,21180.0
1060,21.2,21200.0
1061,21.22,21220.0
1062,21.240000000000002,21240.000000000004
1063,21.26,21260.0
1064,21.28,21280.0
1065,21.3,21300.0
1066,21.32,21320.0
1067,21.34,21340.0
1068,21.36,21360.0
1069,21.38,21380.0
1070,21.400000000000002,21400.000000000004
1071,21.42,21420.0
1072,21.44,21440.0
1073,21.46,21460.0
1074,21.48,21480.0
1075,21.5,21500.0
1076,21.52,21520.0
1077,21.54,21540.0
1078,21.56,21560.0
1079,21.580000000000002,21580.000000000004
1080,21.6,21600.0
1081,21.62,21620.0
1082,21.64,21640.0
1083,21.66,21660.0
1084,21.68,21680.0
1085,21.7,21700.0
1086,21.72,21720.0
1087,21.740000000000002,21740.000000000004
1088,21.76,21760.0
1089,21.78,21780.0
1090,21.8,21800.0
1091,21.82,21820.0
1092,21.84,21840.0
1093,21.86,21860.0
1094,21.88,21880.0
1095,21.900000000000002,21900.000000000004
1096,21.92,21920.0
1097,21.94,21940.0
1098,21.96,21960.0
1099,21.98,21980.0
1100,22.0,22000.0
1101,22.02,22020.0
1102,22.04,22040.0
1103,22.06,22060.0
1104,22.080000000000002,22080.000000000004
1105,22.1,22100.0
1106,22.12,22120.0
1107,22.14,22140.0
1108,22.16,22160.0
1109,22.18,22180.0
1110,22.2,22200.0
1111,22.22,22220.0
1112,22.240000000000002,22240.000000000004
1113,22.26,22260.0
1114,22.28,22280.0
1115,22.3,22300.0
1116,22.32,22320.0
1117,22.34,22340.0
1118,22.36,22360.0
1119,22.38,22380.0
1120,22.400000000000002,22400.000000000004
1121,22.42,22420.0
1122,22.44,22440.0
1123,22.46,22460.0
1124,22.48,22480.0
1125,22.5,22500.0
1126,22.52,22520.0
1127,22.54,22540.0
1128,22.56,22560.0
1129,22.580000000000002,22580.000000000004
1130,22.6,22600.0
1131,22.62,22620.0
1132,22.64,22640.0
1133,22.66,22660.0
1134,22.68,22680.0
1135,22.7,22700.0
1136,22.72,22720.0
1137,22.740000000000002,22740.000000000004
1138,22.76,22760.0
1139,22.78,22780.0
1140,22.8,22800.0
1141,22.82,22820.0
1142,22.84,22840.0
1143,22.86,22860.0
1144,22.88,22880.0
1145,22.900000000000002,22900.000000000004
1146,22.92,22920.0
1147,22.94,22940.0
1148,22.96,22960.0
